"ticker","year","company_name","expected_fs_pdf","source_hint"
"SUPR","2021","Solusi Tunas Pratama Tbk",".\data\raw\SUPR_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"SUPR","2022","Solusi Tunas Pratama Tbk",".\data\raw\SUPR_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"SUPR","2023","Solusi Tunas Pratama Tbk",".\data\raw\SUPR_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"SUPR","2024","Solusi Tunas Pratama Tbk",".\data\raw\SUPR_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"SUPR","2025","Solusi Tunas Pratama Tbk",".\data\raw\SUPR_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"IBST","2019","Inti Bangun Sejahtera Tbk",".\data\raw\IBST_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"IBST","2020","Inti Bangun Sejahtera Tbk",".\data\raw\IBST_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"IBST","2021","Inti Bangun Sejahtera Tbk",".\data\raw\IBST_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"IBST","2022","Inti Bangun Sejahtera Tbk",".\data\raw\IBST_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"IBST","2023","Inti Bangun Sejahtera Tbk",".\data\raw\IBST_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"IBST","2024","Inti Bangun Sejahtera Tbk",".\data\raw\IBST_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"IBST","2025","Inti Bangun Sejahtera Tbk",".\data\raw\IBST_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"BALI","2019","Bali Towerindo Sentra Tbk",".\data\raw\BALI_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"BALI","2020","Bali Towerindo Sentra Tbk",".\data\raw\BALI_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"BALI","2021","Bali Towerindo Sentra Tbk",".\data\raw\BALI_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"BALI","2022","Bali Towerindo Sentra Tbk",".\data\raw\BALI_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"BALI","2023","Bali Towerindo Sentra Tbk",".\data\raw\BALI_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"BALI","2024","Bali Towerindo Sentra Tbk",".\data\raw\BALI_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"BALI","2025","Bali Towerindo Sentra Tbk",".\data\raw\BALI_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"LINK","2019","Link Net Tbk",".\data\raw\LINK_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"LINK","2020","Link Net Tbk",".\data\raw\LINK_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"LINK","2021","Link Net Tbk",".\data\raw\LINK_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"LINK","2022","Link Net Tbk",".\data\raw\LINK_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"LINK","2023","Link Net Tbk",".\data\raw\LINK_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"LINK","2024","Link Net Tbk",".\data\raw\LINK_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"LINK","2025","Link Net Tbk",".\data\raw\LINK_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"OASA","2019","Maharaksa Biru Energi Tbk",".\data\raw\OASA_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"OASA","2020","Maharaksa Biru Energi Tbk",".\data\raw\OASA_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"OASA","2021","Maharaksa Biru Energi Tbk",".\data\raw\OASA_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"OASA","2022","Maharaksa Biru Energi Tbk",".\data\raw\OASA_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"OASA","2023","Maharaksa Biru Energi Tbk",".\data\raw\OASA_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"OASA","2024","Maharaksa Biru Energi Tbk",".\data\raw\OASA_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"OASA","2025","Maharaksa Biru Energi Tbk",".\data\raw\OASA_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"LCKM","2019","LCK Global Kedaton Tbk",".\data\raw\LCKM_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"LCKM","2020","LCK Global Kedaton Tbk",".\data\raw\LCKM_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"LCKM","2021","LCK Global Kedaton Tbk",".\data\raw\LCKM_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"LCKM","2022","LCK Global Kedaton Tbk",".\data\raw\LCKM_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"LCKM","2023","LCK Global Kedaton Tbk",".\data\raw\LCKM_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"LCKM","2024","LCK Global Kedaton Tbk",".\data\raw\LCKM_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"LCKM","2025","LCK Global Kedaton Tbk",".\data\raw\LCKM_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"GHON","2019","Gihon Telekomunikasi Indonesia Tbk",".\data\raw\GHON_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"GHON","2020","Gihon Telekomunikasi Indonesia Tbk",".\data\raw\GHON_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"GHON","2021","Gihon Telekomunikasi Indonesia Tbk",".\data\raw\GHON_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"GHON","2022","Gihon Telekomunikasi Indonesia Tbk",".\data\raw\GHON_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"GHON","2023","Gihon Telekomunikasi Indonesia Tbk",".\data\raw\GHON_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"GHON","2024","Gihon Telekomunikasi Indonesia Tbk",".\data\raw\GHON_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"GHON","2025","Gihon Telekomunikasi Indonesia Tbk",".\data\raw\GHON_2025_FS.pdf","IDX Listed Companies > Financial Statements"
